strain,date,country,region,url,author,accession
FLSR077,8/20/2016,Usa,North America,,?,MK269354
MB16_23,9/1/2016,Usa,North America,,Mutebi et al,MF988743
FLUR096,9/3/2016,Usa,North America,,Grubaugh et al A (https://www.ncbi.nlm.nih.gov/pubmed/31442400),MK269357
USA/2016/MA_WGS16_034,8/15/2016,Usa,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785459
JAM/2016/MA_WGS16_025,7/10/2016,Jamaica,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785424
Dominican_Rep_Rus_4MRG_2016,5/23/2016,Dominican Republic,North America,,Karan et al,MF098765
USVI/7/2016,10/27/2016,Usvi,North America,,Black et al A,VI7
DOM/2016/BB_0059,4/4/2016,Dominican Republic,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785425
USA/2016/FL029,8/1/2016,Usa,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785457
USA/2016/FL028,8/1/2016,Usa,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY785443
FLUR099,9/1/2016,Usa,North America,,?,MK269358
USA/2016/FLUR001,7/28/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY325480
USA/2016/FL022,7/22/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY075935
USA/2016/FL036,8/4/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY075936
USA/2016/Hu0015SA,8/24/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KX832731
USA/2016/FL030,8/2/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KX922704
USA/2016/FLUR005,7/29/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY325481
USA/2016/FLUR006,7/29/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY325467
FLUR076,8/19/2016,Usa,North America,,Grubaugh et al A (https://www.ncbi.nlm.nih.gov/pubmed/31442400),MK269356
USA/2016/FLUR002,7/28/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY325466
USA/2016/FL021,7/19/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KX922703
Aedes_aegypti/USA/2016/FL08,10/5/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY075939
Aedes_aegypti/USA/2016/FL02,8/23/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KX838905
USA/2016/FLUR007,8/4/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY325468
USA/2016/FLUR008,8/4/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY325469
USA/2016/FLUR009,8/4/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY325470
Aedes_aegypti/USA/2016/FL01,8/22/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KX838904
USA/2016/FLUR015,8/24/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY325483
Aedes_aegypti/USA/2016/FL06,9/20/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY075938
USA/2016/FLUR063,10/3/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY325477
USA/2016/FLWB042,9/26/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY325478
USA/2016/FLUR057,10/5/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY325475
USA/2016/FL010,6/22/2016,Usa,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY014295
USA/2016/FL038,8/5/2016,Usa,North America,,Metsky et al (https://www.ncbi.nlm.nih.gov/pubmed/28538734),KY014326
FLUR100,8/18/2016,Usa,North America,,?,MK269359
USA/2016/FLUR013,8/23/2016,Usa,North America,,Grubaugh et al B (https://www.ncbi.nlm.nih.gov/pubmed/28538723),KY325472
Homo_Sapiens/NIC/6669_CZB223/2016,8/23/2016,Nicaragua,North America,,?,OK054371
BR/Sinop/H366_2P/2015,12/11/2015,Brazil,South America,,Bronzoni et al,MH513600
BR_SJRP21,2/29/2016,Brazil,South America,,Bittar et al,KY441401
AMA21,4/25/2016,Brazil,South America,,?,MK216698
AMA36,3/1/2016,Brazil,South America,,?,MK216706
AMA58,1/20/2016,Brazil,South America,,?,MK216722
AMA57,1/14/2016,Brazil,South America,,?,MK216723
AMA49,2/10/2016,Brazil,South America,,?,MK216718
AMA33,2/19/2016,Brazil,South America,,?,MK216704
AMA13,4/1/2016,Brazil,South America,,?,MK216692
